Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.42     0.00     2299     0.00     0.00  void std::_Destroy<NominalFeature>(NominalFeature*)
  0.00      0.42     0.00     2299     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00      0.42     0.00     2060     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.42     0.00     2052     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.42     0.00     1440     0.00     0.00  std::string&& std::forward<std::string>(std::remove_reference<std::string>::type&)
  0.00      0.42     0.00     1330     0.00     0.00  bool std::operator==<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  0.00      0.42     0.00     1330     0.00     0.00  bool std::operator!=<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  0.00      0.42     0.00     1255     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)
  0.00      0.42     0.00     1197     0.00     0.00  std::move_iterator<std::string*>::operator*() const
  0.00      0.42     0.00     1197     0.00     0.00  std::move_iterator<std::string*>::operator++()
  0.00      0.42     0.00     1197     0.00     0.00  _ZSt10_ConstructI14NominalFeatureJRS0_EEvPT_DpOT0_
  0.00      0.42     0.00     1197     0.00     0.00  _ZSt10_ConstructISsJSsEEvPT_DpOT0_
  0.00      0.42     0.00     1197     0.00     0.00  NominalFeature& std::forward<NominalFeature&>(std::remove_reference<NominalFeature&>::type&)
  0.00      0.42     0.00     1102     0.00     0.00  _ZN9__gnu_cxx13new_allocatorI14NominalFeatureE9constructIS1_IRKS1_EEEvPT_DpOT0_
  0.00      0.42     0.00     1102     0.00     0.00  _ZNSt16allocator_traitsISaI14NominalFeatureEE12_S_constructIS0_IRKS0_EEENSt9enable_ifIXsrNS2_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS1_PS8_DpOS9_
